_id,title,author,publisher,price,comment_count
6527832756d1630dc21efcf8,Atlas , Aleksandra Mizielinska,DOMİNGO ÇOCUK," 277,20",299
6527832856d1630dc21efcf9,"Dorian Gray'in Portresi (Ciltli, İplik Dikişli)", Oscar Wilde,KAPRA YAYINCILIK," 24,90",19
6527832856d1630dc21efcfa,İnsancıklar, Fyodor Mihailoviç Dostoyevski,CAN YAYINLARI," 44,20",668
6527832856d1630dc21efcfb,Dorian Gray’in Portresi (Cep Boy) (Tam Metin), Oscar Wilde,KARBON KİTAPLAR," 8,90",91
6527832856d1630dc21efcfc,Nasıl Dayandın Ya Rasulullah , Mehmet  Yıldız,TİMAŞ YAYINLARI," 118,80",85
6527832856d1630dc21efcfd,"Yeraltından Notlar (Ciltli, İplik Dikişli)", Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK," 24,90",20
6527832856d1630dc21efcfe,Kitleler Psikolojisi (Cep Boy)  (Tam Metin), Gustave Le Bon,KARBON KİTAPLAR," 8,90",67
6527832856d1630dc21efcff,Dünyaya Geldim Gitmeye,Dr. Kemal Sayar,TURKUVAZ KİTAP," 108,00",228
6527832856d1630dc21efd00,"Diriliş (2 Cilt Takım) (Ciltli, İplik Dikişli)", Lev N. Tolstoy,KAPRA YAYINCILIK," 49,80",20
6527832856d1630dc21efd01,Milena’ya Mektuplar, Franz Kafka,KAPRA YAYINCILIK," 14,90",29
6527832856d1630dc21efd02,Çaba Göstermeye Değer, Aleix Cabrera,TÜBİTAK YAYINLARI," 7,50",43
6527832956d1630dc21efd03,Sır, Mustafa Kutlu,DERGAH YAYINLARI," 45,00",499
6527832956d1630dc21efd04,Fedailerin Kalesi Alamut, Vladimir Bartol,KORİDOR YAYINCILIK," 105,39",1.881
6527832956d1630dc21efd05,"Türkçülüğün Esasları (Ciltli, İplik Dikişli)", Ziya Gökalp,KAPRA YAYINCILIK," 24,90",14
6527832956d1630dc21efd06,Domates Saçlı Kız, Sevim Ak,CAN ÇOCUK YAYINLARI," 68,15",153
6527832956d1630dc21efd07,Köpek Gibi Büyütülmüş Çocuk, Maia Szalavitz,KORİDOR YAYINCILIK," 110,86",544
6527832956d1630dc21efd08,Uçabileceğini Hayal Eden Tavuk, Sun-Mı Hwang,TİMAŞ GENÇ," 41,70",112
6527832956d1630dc21efd09,Kalbin Sırları, İmam Gazali,NESİL YAYINLARI," 39,00",11
6527832956d1630dc21efd0a,"Deniz Feneri (Ciltli, İplik Dikişli)", Virginia Woolf,KAPRA YAYINCILIK," 24,90",14
6527832956d1630dc21efd0b,Kar Çorbası , Fatıma Merve İnan,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY)," 50,00",6
6527832a56d1630dc21efd0c,Filozof Meşe, Anooshirvan  Miandji ,BİLGİ ÇOCUK KİTAPLARI," 49,68",46
6527832a56d1630dc21efd0d,Günübirlik Hayatlar, Irvin D. Yalom,PEGASUS YAYINLARI," 120,12",649
6527832a56d1630dc21efd0e,Sıfır Noktasındaki Kadın, Neval el-Saadavi,METİS YAYINLARI," 58,56",387
